,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,5,5,5,pensais,thought
6,6,6,6,aide,help
7,7,7,7,demande,request
8,8,8,8,genre,kind
9,9,9,9,frère,brother
10,10,10,10,laisser,let
11,11,11,11,car,because
12,12,12,12,mettre,to put
13,13,13,13,aucun,no
14,14,14,14,laisse,leash
15,15,16,16,ville,city
16,16,17,17,chaque,each
17,17,18,18,arrivé,come
18,18,19,19,devrait,should
19,19,20,20,bébé,baby
20,20,21,21,longtemps,long time
21,21,22,22,heures,hours
22,22,23,23,pendant,while
23,23,24,24,revoir,meet again
24,24,25,25,aucune,any
25,25,26,26,place,square
26,26,27,27,parle,speak
27,27,28,29,savais,knew
28,29,30,31,attention,Warning
29,30,31,32,voici,here is
30,31,32,33,pourrais,could
31,32,33,34,affaire,case
32,33,34,35,donner,give
33,34,35,36,type,type
34,35,36,37,leurs,their
35,36,37,38,donné,given
36,37,38,39,train,train
37,38,39,40,corps,body
38,39,40,41,endroit,place
39,40,41,42,yeux,eyes
40,41,42,43,façon,way
41,42,43,44,écoute,listen
42,43,44,45,dont,whose
43,44,45,46,trouve,find
44,45,46,47,premier,first
45,46,47,48,perdu,lost
46,47,48,49,main,hand
47,48,49,50,première,first
48,49,51,52,pouvoir,power
49,50,52,53,vieux,old
50,51,53,54,sois,be
51,52,54,55,tiens,here
52,53,55,56,matin,morning
53,54,56,57,tellement,so much
54,55,57,58,enfant,child
55,56,58,59,point,point
56,57,59,60,venu,came
57,58,60,61,suite,after
58,59,61,62,pardon,sorry
59,60,62,63,venez,come
60,61,63,64,devant,in front of
61,62,64,65,vers,towards
62,63,65,66,minutes,minutes
63,64,66,67,demandé,request
64,65,67,68,chambre,bedroom
65,66,68,69,mis,placed
66,67,69,70,belle,beautiful
67,68,70,71,droit,law
68,69,71,72,aimerais,would like to
69,70,72,73,aujourd'hui,today
70,71,73,74,mari,husband
71,72,74,75,cause,cause
72,73,75,76,enfin,finally
73,74,76,78,eau,water
74,75,77,79,attendez,Wait
75,76,78,80,parti,left
76,77,79,81,nouvelle,new
77,78,80,82,boulot,job
78,79,81,83,arrêter,Stop
79,80,82,84,dirait,would say
80,81,83,85,terre,Earth
81,82,84,87,donne,given
82,83,85,88,loin,far
83,84,86,89,fin,end
84,85,87,90,croire,believe
85,86,88,91,chérie,sweetheart
86,87,89,92,gros,large
87,88,90,93,plutôt,rather
88,89,91,94,filles,girls
89,90,93,96,bureau,office
